Ring,Date,Trap,Twig ,Bark ,Seed ,Leaf ,Scat ,Insect,
3,2014-02-26,R3T2,0.9431,2.4758,0.0038,6.3495,0.0245,0.0279,
3,2014-02-26,R3T3,0.9865,1.7810,0.0940,8.2886,0.0813,0.0162,
3,2014-02-26,R3T4,0.8145,3.7480,0.9140,12.2214,0.1102,0.0427,
3,2014-02-26,R3T5,1.9783,3.2862,0.0000,10.5797,0.1606,0.0766,
3,2014-02-26,R3T6,1.0393,3.8369,0.0425,9.6331,0.1015,0.0558,
3,2014-02-26,R3T7,6.8276,3.7752,0.2291,8.6404,0.0152,0.0357,
3,2014-02-26,R3T8,4.9059,5.5314,0.0545,7.3677,0.0741,0.0866,
3,2014-02-26,R3TA,0.6301,0.6133,0.2655,3.2588,0.0567,0.0603,
4,2014-02-26,R4T1,1.1628,5.1566,0.0000,12.5883,0.1222,0.0068,
4,2014-02-26,R4T2,0.8609,0.9426,0.0000,9.8909,0.1317,0.0397,
4,2014-02-26,R4T3,4.0965,0.7548,0.0096,13.6386,0.4124,0.0611,
4,2014-02-26,R4T4,2.3648,22.6129,0.0179,9.7100,0.0644,0.0190,
4,2014-02-26,R4T5,1.9913,1.5993,0.2600,6.9678,0.1139,0.0700,
4,2014-02-26,R4T6,3.8326,8.4143,0.1873,7.6916,0.1823,0.1007,
4,2014-02-26,R4T7,0.8566,0.4586,0.0000,9.9023,0.0146,0.0410,
4,2014-02-26,R4T8,1.1916,3.4507,0.0041,10.4084,0.2023,0.0453,
4,2014-02-26,R4TA,0.5313,0.2575,0.0375,2.8711,0.0847,0.0374,
5,2014-02-26,R5T1,4.5930,9.1891,0.2676,7.157,0.0340,0.2050,
5,2014-02-26,R5T2,2.0545,1.2963,0.1550,5.0100,0.0000,0.0324,
5,2014-02-26,R5T3,1.3880,4.1615,0.0926,7.3980,0.0222,0.0183,
5,2014-02-26,R5T4,4.5088,1.3912,0.3028,7.4288,0.0363,0.0324,
5,2014-02-26,R5T5,11.5974,0.3743,0.2265,11.6697,0.0391,0.0510,
5,2014-02-26,R5T6,2.3225,7.5363,0.1902,9.8710,0.0202,0.0446,
5,2014-02-26,R5T7,5.6630,22.3819,0.0918,7.1947,0.0110,0.0438,
5,2014-02-26,R5T8,3.5685,2.1339,0.2747,10.9273,0.0194,0.0501,
5,2014-02-26,R5TA,1.0931,0.6763,0.4706,8.7816,0.0417,0.0776,
6,2014-02-26,R6T1,3.5823,6.2857,0.6896,14.5098,0.3435,0.4853,
6,2014-02-26,R6T2,1.8962,3.3652,0.0275,7.1940,0.0431,0.0777,
6,2014-02-26,R6T3,0.5950,2.8272,0.1870,12.3051,0.1295,0.0460,
6,2014-02-26,R6T4,10.8584,4.1552,0.4766,13.9906,0.2647,0.1152,
6,2014-02-26,R6T5,2.1096,11.3843,0.5628,9.8643,0.0506,0.1321,
6,2014-02-26,R6T6,1.7646,3.2927,0.7905,10.2954,0.0000,0.0222,
6,2014-02-26,R6T7,2.9025,3.0929,0.0000,16.3754,0.1362,0.0795,
6,2014-02-26,R6T8,0.8548,5.2820,0.2787,16.7722,0.0684,0.0736,
6,2014-02-26,R6TA,0.5031,0.2927,0.1518,7.4675,0.0389,0.1229,
